Server Name,Week,CPU %,RAM,Date
CALMFRRSQL,Wk 6,5.15,27.64,2/11/2017
CALMFRRSQL,Wk 7,5.131,27.56,2/18/2017
CALMFRRSQL,Wk 8,5.183,27.58,2/25/2017
CALMFRRSQL,Wk 9,5.242,27.59,3/4/2017
CALMFRRSQL,Wk 10,5.209,27.64,3/11/2017
CALMFRRSQL,Wk 11,6.056,27.65,3/18/2017
CALMFRRSQL,Wk 12,5.21,27.7,3/25/2017
CALMFRRSQL,Wk 13,6,27.62,4/1/2017
CALMFRRSQL,Wk 14,10,27.56,4/8/2017
CALMFRRSQL,Wk 15,11.89,27.79,4/15/2017
CALMFRRSQL,Wk 16,12.78,27.64,4/22/2017
CALMFRRSQL,Wk 17,11,27.61,4/29/2017
CALMFRRSQL,Wk 18,16,27.53,5/6/2017
CALMFRRSQL,Wk 19,12.81,27.76,5/13/2017
CALMFRRSQL,Wk 20,15,27.74,5/20/2017
CALMFRRSQL,Wk 21,24,27.34,5/27/2017
CALMFRRSQL,Wk 22,32,27.54,6/3/2017
CALMFRRSQL,Wk 23,16,27.57,6/10/2017
CALMFRRSQL,Wk 24,17,27.89,6/17/2017
CALMFRRSQL,Wk 25,12.62,27.89,6/24/2017
CALMFRRSQL,Wk 26,14,27.42,7/1/2017
CALMFRRSQL,Wk 27,10.067,27.66,7/8/2017
CALMFRRSQL,Wk 28,10.486,28.13,7/15/2017
CALMFRRSQL,Wk 29,15,28.08,7/22/2017
CALMFRRSQL,Wk 30,20,27.72,7/29/2017
CALMFRRSQL,Wk 31,16,27.7,8/5/2017
CALMFRRSQL,Wk 32,11.22,27.78,8/12/2017
CALMFRRSQL,Wk 33,11.265,27.85,8/19/2017
CALMFRRSQL,Wk 34,11,27.75,8/26/2017
CALMFRRSQL,Wk 35,13.37,27.28,9/2/2017
CALMFRRSQL,Wk 36,19,27.4,9/9/2017
CALMFRRSQL,Wk 37,6.68,27,9/16/2017
CALMFRRSQL,Wk 38,9.36,27.53,9/23/2017
CALMFRRSQL,Wk 39,8,27.57,9/30/2017
CALMFRRSQL,Wk 40,6.33,27.54,10/7/2017
CALMFRRSQL,Wk 41,7,27.43,10/14/2017
CALMFRRSQL,Wk 42,9,27.46,10/21/2017
CALMFRRSQL,Wk 43,39,27.55,10/28/2017
CALMFRRSQL,Wk 44,38,27.42,11/4/2017
CALMFRRSQL,Wk 45,37,27.62,11/11/2017
CALMFRRSQL,Wk 46,26,27.71,11/18/2017
CALMFRRSQL,Wk 47,31,27.71,11/25/2017
CALMFRRSQL,Wk 48,38,27.3,12/2/2017
CALMFRRSQL,Wk 49,29,27.52,12/9/2017
CALMFRRSQL,Wk 50,29,27.86,12/16/2017
CALMFRRSQL,Wk 51,30,27.71,12/23/2017
CALMFRRSQL,WK 52,,,12/30/2017
